Pair	Ka	Ks	Ka/Ks	SeqQ	SeqS
1	0.0026	0.0000	99.0000	Gene.2::ClydYONA_Contig1_10584_reads_978_bases::g.2::m.2	Gene.32::ClydYONA_Contig16_5860_reads_524_bases::g.32::m.32
2	0.0000	0.0000	0.5767	Gene.2::ClydYONA_Contig1_10584_reads_978_bases::g.2::m.2	Gene.381::ClydYONA_Contig230_231_reads_496_bases::g.381::m.381
3	1.2787	25.8232	0.0495	Gene.4::ClydYONA_Contig2_43654_reads_1406_bases::g.4::m.4	Gene.516::ClydYONA_Contig328_428_reads_826_bases::g.516::m.516
4	0.0038	0.0000	99.0000	Gene.4::ClydYONA_Contig2_43654_reads_1406_bases::g.4::m.4	Gene.515::ClydYONA_Contig328_428_reads_826_bases::g.515::m.515
5	0.1158	0.0950	1.2190	Gene.4::ClydYONA_Contig2_43654_reads_1406_bases::g.4::m.4	Gene.531::ClydYONA_Contig336_221_reads_671_bases::g.531::m.531
6	0.9333	11.4147	0.0818	Gene.4::ClydYONA_Contig2_43654_reads_1406_bases::g.4::m.4	Gene.483::ClydYONA_Contig305_327_reads_555_bases::g.483::m.483
7	0.0179	0.0260	0.6886	Gene.4::ClydYONA_Contig2_43654_reads_1406_bases::g.4::m.4	Gene.482::ClydYONA_Contig305_327_reads_555_bases::g.482::m.482
8	1.0135	73.0213	0.0139	Gene.4::ClydYONA_Contig2_43654_reads_1406_bases::g.4::m.4	Gene.548::ClydYONA_Contig350_131_reads_515_bases::g.548::m.548
9	0.0000	0.0047	0.0010	Gene.4::ClydYONA_Contig2_43654_reads_1406_bases::g.4::m.4	Gene.547::ClydYONA_Contig350_131_reads_515_bases::g.547::m.547
10	1.0333	69.3470	0.0149	Gene.4::ClydYONA_Contig2_43654_reads_1406_bases::g.4::m.4	Gene.553::ClydYONA_Contig353_229_reads_412_bases::g.553::m.553
11	0.0089	0.0001	99.0000	Gene.4::ClydYONA_Contig2_43654_reads_1406_bases::g.4::m.4	Gene.552::ClydYONA_Contig353_229_reads_412_bases::g.552::m.552
12	0.9037	59.1991	0.0153	Gene.4::ClydYONA_Contig2_43654_reads_1406_bases::g.4::m.4	Gene.554::ClydYONA_Contig353_229_reads_412_bases::g.554::m.554
13	0.0014	0.0091	0.1572	Gene.5::ClydYONA_Contig2_43654_reads_1406_bases::g.5::m.5	Gene.516::ClydYONA_Contig328_428_reads_826_bases::g.516::m.516
14	1.6237	57.8426	0.0281	Gene.5::ClydYONA_Contig2_43654_reads_1406_bases::g.5::m.5	Gene.515::ClydYONA_Contig328_428_reads_826_bases::g.515::m.515
15	1.0341	9.6099	0.1076	Gene.5::ClydYONA_Contig2_43654_reads_1406_bases::g.5::m.5	Gene.531::ClydYONA_Contig336_221_reads_671_bases::g.531::m.531
16	0.0132	0.0470	0.2799	Gene.5::ClydYONA_Contig2_43654_reads_1406_bases::g.5::m.5	Gene.483::ClydYONA_Contig305_327_reads_555_bases::g.483::m.483
17	0.8963	68.7156	0.0130	Gene.5::ClydYONA_Contig2_43654_reads_1406_bases::g.5::m.5	Gene.482::ClydYONA_Contig305_327_reads_555_bases::g.482::m.482
18	0.0024	0.0000	99.0000	Gene.5::ClydYONA_Contig2_43654_reads_1406_bases::g.5::m.5	Gene.548::ClydYONA_Contig350_131_reads_515_bases::g.548::m.548
19	0.9741	64.6538	0.0151	Gene.5::ClydYONA_Contig2_43654_reads_1406_bases::g.5::m.5	Gene.547::ClydYONA_Contig350_131_reads_515_bases::g.547::m.547
20	0.0059	0.0001	99.0000	Gene.5::ClydYONA_Contig2_43654_reads_1406_bases::g.5::m.5	Gene.553::ClydYONA_Contig353_229_reads_412_bases::g.553::m.553
21	1.0919	61.4499	0.0178	Gene.5::ClydYONA_Contig2_43654_reads_1406_bases::g.5::m.5	Gene.552::ClydYONA_Contig353_229_reads_412_bases::g.552::m.552
22	0.8246	82.7276	0.0100	Gene.5::ClydYONA_Contig2_43654_reads_1406_bases::g.5::m.5	Gene.554::ClydYONA_Contig353_229_reads_412_bases::g.554::m.554
23	0.9675	4.0190	0.2407	Gene.6::ClydYONA_Contig2_43654_reads_1406_bases::g.6::m.6	Gene.553::ClydYONA_Contig353_229_reads_412_bases::g.553::m.553
24	1.6769	14.9624	0.1121	Gene.6::ClydYONA_Contig2_43654_reads_1406_bases::g.6::m.6	Gene.552::ClydYONA_Contig353_229_reads_412_bases::g.552::m.552
25	0.0033	0.0000	99.0000	Gene.6::ClydYONA_Contig2_43654_reads_1406_bases::g.6::m.6	Gene.554::ClydYONA_Contig353_229_reads_412_bases::g.554::m.554
26	0.9849	13.0155	0.0757	Gene.6::ClydYONA_Contig2_43654_reads_1406_bases::g.6::m.6	Gene.483::ClydYONA_Contig305_327_reads_555_bases::g.483::m.483
27	1.8358	59.4458	0.0309	Gene.6::ClydYONA_Contig2_43654_reads_1406_bases::g.6::m.6	Gene.482::ClydYONA_Contig305_327_reads_555_bases::g.482::m.482
28	0.0378	0.0947	0.3993	Gene.6::ClydYONA_Contig2_43654_reads_1406_bases::g.6::m.6	Gene.484::ClydYONA_Contig305_327_reads_555_bases::g.484::m.484
29	1.0294	85.7435	0.0120	Gene.7::ClydYONA_Contig2_43654_reads_1406_bases::g.7::m.7	Gene.548::ClydYONA_Contig350_131_reads_515_bases::g.548::m.548
30	1.0675	67.5375	0.0158	Gene.7::ClydYONA_Contig2_43654_reads_1406_bases::g.7::m.7	Gene.547::ClydYONA_Contig350_131_reads_515_bases::g.547::m.547
31	1.1897	89.3497	0.0133	Gene.7::ClydYONA_Contig2_43654_reads_1406_bases::g.7::m.7	Gene.600::ClydYONA_Contig386_115_reads_384_bases::g.600::m.600
32	0.0000	0.0000	99.0000	Gene.10::ClydYONA_Contig4_9658_reads_840_bases::g.10::m.10	Gene.678::ClydYONA_Contig459_208_reads_823_bases::g.678::m.678
33	1.9476	62.1742	0.0313	Gene.10::ClydYONA_Contig4_9658_reads_840_bases::g.10::m.10	Gene.679::ClydYONA_Contig459_208_reads_823_bases::g.679::m.679
34	1.3794	3.7932	0.3637	Gene.10::ClydYONA_Contig4_9658_reads_840_bases::g.10::m.10	Gene.476::ClydYONA_Contig301_268_reads_637_bases::g.476::m.476
35	0.0076	0.0100	0.7610	Gene.10::ClydYONA_Contig4_9658_reads_840_bases::g.10::m.10	Gene.475::ClydYONA_Contig301_268_reads_637_bases::g.475::m.475
36	0.0000	0.0000	0.0010	Gene.11::ClydYONA_Contig4_9658_reads_840_bases::g.11::m.11	Gene.679::ClydYONA_Contig459_208_reads_823_bases::g.679::m.679
