Pair	Ka	Ks	Ka/Ks	SeqQ	SeqS
1	0.0465	0.0878	0.5297	Cerafrut_c59_g1::Cerafrut_c59_g1_i1::g.89::m.89	Cerafrut_c59_g1::Cerafrut_c59_g1_i2::g.90::m.90
2	1.4077	8.5961	0.1638	Cerafrut_c119_g1::Cerafrut_c119_g1_i1::g.155::m.155	Cerafrut_c119_g1::Cerafrut_c119_g1_i1::g.156::m.156
3	0.0294	0.0490	0.5995	Cerafrut_c173_g1::Cerafrut_c173_g1_i1::g.218::m.218	Cerafrut_c173_g1::Cerafrut_c173_g1_i2::g.219::m.219
4	0.0209	0.0259	0.8050	Cerafrut_c202_g1::Cerafrut_c202_g1_i1::g.251::m.251	Cerafrut_c202_g1::Cerafrut_c202_g1_i2::g.252::m.252
5	0.0000	0.0000	0.3493	Cerafrut_c230_g1::Cerafrut_c230_g1_i1::g.278::m.278	Cerafrut_c230_g1::Cerafrut_c230_g1_i2::g.279::m.279
6	0.0749	0.0662	1.1305	Cerafrut_c242_g1::Cerafrut_c242_g1_i1::g.294::m.294	Cerafrut_c242_g1::Cerafrut_c242_g1_i2::g.295::m.295
7	0.0027	0.0326	0.0843	Cerafrut_c278_g1::Cerafrut_c278_g1_i1::g.334::m.334	Cerafrut_c278_g1::Cerafrut_c278_g1_i2::g.336::m.336
8	0.0500	0.1222	0.4090	Cerafrut_c312_g1::Cerafrut_c312_g1_i1::g.367::m.367	Cerafrut_c312_g1::Cerafrut_c312_g1_i2::g.368::m.368
9	0.0038	0.0000	99.0000	Cerafrut_c319_g1::Cerafrut_c319_g1_i1::g.373::m.373	Cerafrut_c319_g1::Cerafrut_c319_g1_i2::g.374::m.374
10	0.8566	7.4119	0.1156	Cerafrut_c345_g1::Cerafrut_c345_g1_i1::g.407::m.407	Cerafrut_c345_g1::Cerafrut_c345_g1_i2::g.408::m.408
11	0.0659	0.1347	0.4891	Cerafrut_c376_g1::Cerafrut_c376_g1_i1::g.449::m.449	Cerafrut_c376_g1::Cerafrut_c376_g1_i2::g.450::m.450
12	0.0000	0.0000	0.0010	Cerafrut_c381_g1::Cerafrut_c381_g1_i1::g.457::m.457	Cerafrut_c381_g1::Cerafrut_c381_g1_i2::g.458::m.458
13	0.0812	0.2525	0.3217	Cerafrut_c448_g1::Cerafrut_c448_g1_i1::g.526::m.526	Cerafrut_c448_g1::Cerafrut_c448_g1_i2::g.527::m.527
14	1.1519	4.6012	0.2503	Cerafrut_c557_g1::Cerafrut_c557_g1_i1::g.651::m.651	Cerafrut_c557_g1::Cerafrut_c557_g1_i2::g.653::m.653
15	0.1115	0.2521	0.4423	Cerafrut_c621_g1::Cerafrut_c621_g1_i1::g.735::m.735	Cerafrut_c621_g1::Cerafrut_c621_g1_i2::g.736::m.736
16	0.0036	0.0031	1.1627	Cerafrut_c670_g1::Cerafrut_c670_g1_i1::g.786::m.786	Cerafrut_c670_g1::Cerafrut_c670_g1_i2::g.787::m.787
17	0.0830	0.2702	0.3072	Cerafrut_c685_g1::Cerafrut_c685_g1_i1::g.803::m.803	Cerafrut_c685_g1::Cerafrut_c685_g1_i2::g.804::m.804
18	0.0000	0.0000	0.4675	Cerafrut_c747_g1::Cerafrut_c747_g1_i1::g.874::m.874	Cerafrut_c747_g1::Cerafrut_c747_g1_i2::g.875::m.875
19	0.0000	0.0000	0.3812	Cerafrut_c791_g1::Cerafrut_c791_g1_i1::g.917::m.917	Cerafrut_c791_g2::Cerafrut_c791_g2_i2::g.920::m.920
20	1.8543	1.2164	1.5244	Cerafrut_c791_g1::Cerafrut_c791_g1_i1::g.917::m.917	Cerafrut_c791_g2::Cerafrut_c791_g2_i2::g.921::m.921
21	0.0008	0.0032	0.2402	Cerafrut_c794_g1::Cerafrut_c794_g1_i1::g.924::m.924	Cerafrut_c794_g1::Cerafrut_c794_g1_i2::g.925::m.925
22	0.0192	0.0554	0.3457	Cerafrut_c922_g1::Cerafrut_c922_g1_i1::g.1042::m.1042	Cerafrut_c922_g1::Cerafrut_c922_g1_i2::g.1044::m.1044
23	1.0412	65.9932	0.0158	Cerafrut_c922_g1::Cerafrut_c922_g1_i1::g.1042::m.1042	Cerafrut_c922_g1::Cerafrut_c922_g1_i2::g.1043::m.1043
24	0.0295	0.0284	1.0397	Cerafrut_c923_g1::Cerafrut_c923_g1_i1::g.1045::m.1045	Cerafrut_c923_g1::Cerafrut_c923_g1_i2::g.1047::m.1047
25	0.2014	0.4330	0.4650	Cerafrut_c940_g1::Cerafrut_c940_g1_i1::g.1065::m.1065	Cerafrut_c940_g1::Cerafrut_c940_g1_i2::g.1066::m.1066
26	0.4329	1.0237	0.4228	Cerafrut_c943_g1::Cerafrut_c943_g1_i1::g.1070::m.1070	Cerafrut_c943_g1::Cerafrut_c943_g1_i2::g.1071::m.1071
27	0.0758	0.2407	0.3149	Cerafrut_c983_g1::Cerafrut_c983_g1_i1::g.1133::m.1133	Cerafrut_c983_g1::Cerafrut_c983_g1_i2::g.1134::m.1134
28	0.1002	0.2780	0.3604	Cerafrut_c994_g1::Cerafrut_c994_g1_i1::g.1150::m.1150	Cerafrut_c994_g1::Cerafrut_c994_g1_i2::g.1151::m.1151
29	0.0304	0.0521	0.5844	Cerafrut_c1019_g1::Cerafrut_c1019_g1_i1::g.1175::m.1175	Cerafrut_c1019_g1::Cerafrut_c1019_g1_i2::g.1176::m.1176
30	0.0026	0.0000	99.0000	Cerafrut_c1070_g1::Cerafrut_c1070_g1_i1::g.1238::m.1238	Cerafrut_c1070_g1::Cerafrut_c1070_g1_i2::g.1239::m.1239
31	0.0233	0.0805	0.2889	Cerafrut_c1077_g1::Cerafrut_c1077_g1_i1::g.1245::m.1245	Cerafrut_c1077_g1::Cerafrut_c1077_g1_i2::g.1246::m.1246
32	0.0097	0.0102	0.9445	Cerafrut_c1118_g1::Cerafrut_c1118_g1_i1::g.1297::m.1297	Cerafrut_c1118_g1::Cerafrut_c1118_g1_i2::g.1298::m.1298
33	0.0260	0.0267	0.9750	Cerafrut_c1321_g1::Cerafrut_c1321_g1_i1::g.1504::m.1504	Cerafrut_c1321_g1::Cerafrut_c1321_g1_i2::g.1506::m.1506
34	1.6790	68.8673	0.0244	Cerafrut_c1321_g1::Cerafrut_c1321_g1_i1::g.1504::m.1504	Cerafrut_c1321_g1::Cerafrut_c1321_g1_i2::g.1507::m.1507
35	0.0294	0.0183	1.6053	Cerafrut_c1321_g1::Cerafrut_c1321_g1_i1::g.1505::m.1505	Cerafrut_c1321_g1::Cerafrut_c1321_g1_i2::g.1507::m.1507
