Pair	Ka	Ks	Ka/Ks	SeqQ	SeqS
1	0.0654	0.0989	0.6610	Gene.3::ACA1_000330-t26_1::g.3::m.3	Gene.725::ACA1_015100-t26_1::g.725::m.725
2	0.7863	14.4841	0.0543	Gene.3::ACA1_000330-t26_1::g.3::m.3	Gene.724::ACA1_015100-t26_1::g.724::m.724
3	0.9200	15.3433	0.0600	Gene.3::ACA1_000330-t26_1::g.3::m.3	Gene.726::ACA1_015100-t26_1::g.726::m.726
4	12.3395	25.8765	0.4769	Gene.70::ACA1_001310-t26_1::g.70::m.70	Gene.42085::ACA1_315380-t26_1::g.42085::m.42085
5	0.2391	0.8276	0.2890	Gene.70::ACA1_001310-t26_1::g.70::m.70	Gene.42084::ACA1_315380-t26_1::g.42084::m.42084
6	1.6391	3.9688	0.4130	Gene.70::ACA1_001310-t26_1::g.70::m.70	Gene.22662::ACA1_161300-t26_1::g.22662::m.22662
7	1.5193	54.2357	0.0280	Gene.70::ACA1_001310-t26_1::g.70::m.70	Gene.22661::ACA1_161300-t26_1::g.22661::m.22661
8	1.9508	1.6843	1.1582	Gene.70::ACA1_001310-t26_1::g.70::m.70	Gene.22660::ACA1_161300-t26_1::g.22660::m.22660
9	0.1950	0.8034	0.2427	Gene.70::ACA1_001310-t26_1::g.70::m.70	Gene.22659::ACA1_161300-t26_1::g.22659::m.22659
10	1.5594	2.7555	0.5659	Gene.71::ACA1_001310-t26_1::g.71::m.71	Gene.42085::ACA1_315380-t26_1::g.42085::m.42085
11	1.7232	52.5485	0.0328	Gene.71::ACA1_001310-t26_1::g.71::m.71	Gene.42084::ACA1_315380-t26_1::g.42084::m.42084
12	0.1242	0.1508	0.8240	Gene.71::ACA1_001310-t26_1::g.71::m.71	Gene.22662::ACA1_161300-t26_1::g.22662::m.22662
13	1.4818	3.0590	0.4844	Gene.71::ACA1_001310-t26_1::g.71::m.71	Gene.22661::ACA1_161300-t26_1::g.22661::m.22661
14	2.5855	4.0067	0.6453	Gene.71::ACA1_001310-t26_1::g.71::m.71	Gene.22660::ACA1_161300-t26_1::g.22660::m.22660
15	1.5939	56.3101	0.0283	Gene.71::ACA1_001310-t26_1::g.71::m.71	Gene.22659::ACA1_161300-t26_1::g.22659::m.22659
16	0.3464	0.2882	1.2019	Gene.72::ACA1_001310-t26_1::g.72::m.72	Gene.42085::ACA1_315380-t26_1::g.42085::m.42085
17	1.4044	52.4925	0.0268	Gene.72::ACA1_001310-t26_1::g.72::m.72	Gene.42084::ACA1_315380-t26_1::g.42084::m.42084
18	1.3288	12.8017	0.1038	Gene.72::ACA1_001310-t26_1::g.72::m.72	Gene.22662::ACA1_161300-t26_1::g.22662::m.22662
19	0.2375	0.2758	0.8610	Gene.72::ACA1_001310-t26_1::g.72::m.72	Gene.22661::ACA1_161300-t26_1::g.22661::m.22661
20	2.1423	11.3860	0.1882	Gene.72::ACA1_001310-t26_1::g.72::m.72	Gene.22660::ACA1_161300-t26_1::g.22660::m.22660
21	13.2596	23.5846	0.5622	Gene.72::ACA1_001310-t26_1::g.72::m.72	Gene.22659::ACA1_161300-t26_1::g.22659::m.22659
22	0.8755	3.1015	0.2823	Gene.81::ACA1_001550-t26_1::g.81::m.81	Gene.3628::ACA1_043880-t26_1::g.3628::m.3628
23	0.0193	0.0002	99.0000	Gene.81::ACA1_001550-t26_1::g.81::m.81	Gene.3627::ACA1_043880-t26_1::g.3627::m.3627
24	0.0081	0.0103	0.7917	Gene.82::ACA1_001550-t26_1::g.82::m.82	Gene.3628::ACA1_043880-t26_1::g.3628::m.3628
25	0.6462	68.4483	0.0094	Gene.82::ACA1_001550-t26_1::g.82::m.82	Gene.3627::ACA1_043880-t26_1::g.3627::m.3627
26	0.9957	3.1217	0.3189	Gene.83::ACA1_001550-t26_1::g.83::m.83	Gene.3628::ACA1_043880-t26_1::g.3628::m.3628
27	1.0742	45.9515	0.0234	Gene.83::ACA1_001550-t26_1::g.83::m.83	Gene.3627::ACA1_043880-t26_1::g.3627::m.3627
28	0.0027	0.0260	0.1021	Gene.90::ACA1_001980-t26_1::g.90::m.90	Gene.42045::ACA1_314860-t26_1::g.42045::m.42045
29	0.0462	0.1186	0.3897	Gene.91::ACA1_001990-t26_1::g.91::m.91	Gene.42044::ACA1_314850-t26_1::g.42044::m.42044
30	0.0788	0.3116	0.2528	Gene.93::ACA1_002200-t26_1::g.93::m.93	Gene.35923::ACA1_264520-t26_1::g.35923::m.35923
31	1.7000	5.3466	0.3180	Gene.93::ACA1_002200-t26_1::g.93::m.93	Gene.35924::ACA1_264520-t26_1::g.35924::m.35924
32	0.0519	0.0230	2.2581	Gene.94::ACA1_002200-t26_1::g.94::m.94	Gene.35924::ACA1_264520-t26_1::g.35924::m.35924
33	1.1390	60.6348	0.0188	Gene.94::ACA1_002200-t26_1::g.94::m.94	Gene.35923::ACA1_264520-t26_1::g.35923::m.35923
34	0.2239	0.6666	0.3359	Gene.142::ACA1_002730-t26_1::g.142::m.142	Gene.23407::ACA1_166890-t26_1::g.23407::m.23407
35	1.9925	53.3282	0.0374	Gene.143::ACA1_002730-t26_1::g.143::m.143	Gene.23407::ACA1_166890-t26_1::g.23407::m.23407
36	1.1136	56.9164	0.0196	Gene.171::ACA1_003110-t26_1::g.171::m.171	Gene.19180::ACA1_136850-t26_1::g.19180::m.19180
37	0.0057	0.0389	0.1456	Gene.171::ACA1_003110-t26_1::g.171::m.171	Gene.19179::ACA1_136850-t26_1::g.19179::m.19179
38	1.7340	49.8439	0.0348	Gene.171::ACA1_003110-t26_1::g.171::m.171	Gene.19181::ACA1_136850-t26_1::g.19181::m.19181
39	0.0084	0.0068	1.2387	Gene.172::ACA1_003110-t26_1::g.172::m.172	Gene.19180::ACA1_136850-t26_1::g.19180::m.19180
40	1.4611	5.1884	0.2816	Gene.172::ACA1_003110-t26_1::g.172::m.172	Gene.19179::ACA1_136850-t26_1::g.19179::m.19179
41	2.1076	40.9008	0.0515	Gene.172::ACA1_003110-t26_1::g.172::m.172	Gene.19181::ACA1_136850-t26_1::g.19181::m.19181
42	3.9852	33.2762	0.1198	Gene.173::ACA1_003110-t26_1::g.173::m.173	Gene.19180::ACA1_136850-t26_1::g.19180::m.19180
43	4.4404	50.0205	0.0888	Gene.173::ACA1_003110-t26_1::g.173::m.173	Gene.19179::ACA1_136850-t26_1::g.19179::m.19179
44	1.9964	16.1143	0.1239	Gene.173::ACA1_003110-t26_1::g.173::m.173	Gene.19181::ACA1_136850-t26_1::g.19181::m.19181
45	9.8749	26.9650	0.3662	Gene.174::ACA1_003110-t26_1::g.174::m.174	Gene.19180::ACA1_136850-t26_1::g.19180::m.19180
46	1.4559	6.5387	0.2227	Gene.174::ACA1_003110-t26_1::g.174::m.174	Gene.19179::ACA1_136850-t26_1::g.19179::m.19179
47	0.0091	0.0062	1.4695	Gene.174::ACA1_003110-t26_1::g.174::m.174	Gene.19181::ACA1_136850-t26_1::g.19181::m.19181
48	0.7380	8.8171	0.0837	Gene.177::ACA1_003220-t26_1::g.177::m.177	Gene.19182::ACA1_137060-t26_1::g.19182::m.19182
49	0.0033	0.0058	0.5671	Gene.177::ACA1_003220-t26_1::g.177::m.177	Gene.19185::ACA1_137060-t26_1::g.19185::m.19185
50	0.1054	0.3752	0.2808	Gene.178::ACA1_003220-t26_1::g.178::m.178	Gene.19184::ACA1_137060-t26_1::g.19184::m.19184
51	0.1837	0.6463	0.2842	Gene.178::ACA1_003220-t26_1::g.178::m.178	Gene.39223::ACA1_286160-t26_1::g.39223::m.39223
52	1.0225	17.2923	0.0591	Gene.178::ACA1_003220-t26_1::g.178::m.178	Gene.39215::ACA1_286160-t26_1::g.39215::m.39215
53	1.1932	56.0160	0.0213	Gene.178::ACA1_003220-t26_1::g.178::m.178	Gene.2686::ACA1_036510-t26_1::g.2686::m.2686
54	1.1879	62.5387	0.0190	Gene.178::ACA1_003220-t26_1::g.178::m.178	Gene.36558::ACA1_267080-t26_1::g.36558::m.36558
55	1.0354	70.2251	0.0147	Gene.178::ACA1_003220-t26_1::g.178::m.178	Gene.11768::ACA1_082010-t26_1::g.11768::m.11768
56	0.7240	156.7244	0.0046	Gene.178::ACA1_003220-t26_1::g.178::m.178	Gene.11767::ACA1_082010-t26_1::g.11767::m.11767
57	0.2375	1.0147	0.2340	Gene.178::ACA1_003220-t26_1::g.178::m.178	Gene.14285::ACA1_097130-t26_1::g.14285::m.14285
58	1.0531	46.3933	0.0227	Gene.178::ACA1_003220-t26_1::g.178::m.178	Gene.34417::ACA1_255410-t26_1::g.34417::m.34417
59	1.0972	70.4605	0.0156	Gene.178::ACA1_003220-t26_1::g.178::m.178	Gene.34336::ACA1_254890-t26_1::g.34336::m.34336
60	1.7032	19.6407	0.0867	Gene.178::ACA1_003220-t26_1::g.178::m.178	Gene.2589::ACA1_036240-t26_1::g.2589::m.2589
61	1.0981	65.8068	0.0167	Gene.178::ACA1_003220-t26_1::g.178::m.178	Gene.44112::ACA1_339740-t26_1::g.44112::m.44112
62	1.1332	11.3211	0.1001	Gene.178::ACA1_003220-t26_1::g.178::m.178	Gene.5786::ACA1_055950-t26_1::g.5786::m.5786
63	0.1503	0.9228	0.1629	Gene.178::ACA1_003220-t26_1::g.178::m.178	Gene.14338::ACA1_097300-t26_1::g.14338::m.14338
64	1.2692	70.9130	0.0179	Gene.178::ACA1_003220-t26_1::g.178::m.178	Gene.9326::ACA1_069710-t26_1::g.9326::m.9326
65	1.6322	56.2383	0.0290	Gene.178::ACA1_003220-t26_1::g.178::m.178	Gene.33650::ACA1_248820-t26_1::g.33650::m.33650
