Pair	Ka	Ks	Ka/Ks	SeqQ	SeqS
1	0.0478	0.1438	0.3324	Gene.32::c17_g1_i1::g.32::m.32	Gene.33::c17_g1_i2::g.33::m.33
2	0.2651	0.1241	2.1366	Gene.90::c54_g1_i1::g.90::m.90	Gene.91::c54_g2_i1::g.91::m.91
3	0.0045	0.0113	0.3967	Gene.100::c61_g1_i1::g.100::m.100	Gene.103::c61_g1_i2::g.103::m.103
4	0.9078	55.5055	0.0164	Gene.101::c61_g1_i1::g.101::m.101	Gene.103::c61_g1_i2::g.103::m.103
5	5.6405	1.6278	3.4651	Gene.107::c63_g1_i1::g.107::m.107	Gene.108::c63_g1_i1::g.108::m.108
6	1.6782	46.6092	0.0360	Gene.107::c63_g1_i1::g.107::m.107	Gene.109::c63_g1_i1::g.109::m.109
7	21.9534	2.3868	9.1980	Gene.107::c63_g1_i1::g.107::m.107	Gene.110::c63_g1_i1::g.110::m.110
8	3.5510	42.8651	0.0828	Gene.108::c63_g1_i1::g.108::m.108	Gene.109::c63_g1_i1::g.109::m.109
9	2.4814	4.4384	0.5591	Gene.108::c63_g1_i1::g.108::m.108	Gene.110::c63_g1_i1::g.110::m.110
10	1.5034	52.4294	0.0287	Gene.109::c63_g1_i1::g.109::m.109	Gene.110::c63_g1_i1::g.110::m.110
11	0.0000	0.0340	0.0010	Gene.163::c101_g1_i1::g.163::m.163	Gene.164::c101_g1_i2::g.164::m.164
12	0.0333	0.1261	0.2644	Gene.174::c110_g1_i1::g.174::m.174	Gene.175::c110_g1_i2::g.175::m.175
13	1.4498	33.0123	0.0439	Gene.174::c110_g1_i1::g.174::m.174	Gene.176::c110_g1_i2::g.176::m.176
14	0.1090	0.3680	0.2961	Gene.200::c118_g1_i1::g.200::m.200	Gene.201::c118_g1_i2::g.201::m.201
15	0.0843	0.0894	0.9437	Gene.227::c136_g1_i1::g.227::m.227	Gene.228::c136_g1_i2::g.228::m.228
16	0.0464	0.2764	0.1679	Gene.236::c138_g1_i1::g.236::m.236	Gene.237::c138_g1_i2::g.237::m.237
17	1.7647	8.0869	0.2182	Gene.236::c138_g1_i1::g.236::m.236	Gene.238::c138_g1_i2::g.238::m.238
18	1.3234	67.8242	0.0195	Gene.244::c143_g1_i1::g.244::m.244	Gene.245::c143_g1_i1::g.245::m.245
