Pair	Ka	Ks	Ka/Ks	SeqQ	SeqS
1	0.0409	0.0535	0.7639	Gene.296::c181_g1_i1::g.296::m.296	Gene.297::c181_g1_i2::g.297::m.297
2	0.0000	0.0000	0.5171	Gene.394::c210_g1_i1::g.394::m.394	Gene.396::c210_g1_i2::g.396::m.396
3	0.0183	0.0373	0.4895	Gene.488::c277_g1_i1::g.488::m.488	Gene.490::c277_g1_i2::g.490::m.490
4	1.9080	23.6378	0.0807	Gene.488::c277_g1_i1::g.488::m.488	Gene.491::c277_g1_i2::g.491::m.491
5	0.0157	0.0487	0.3221	Gene.489::c277_g1_i1::g.489::m.489	Gene.491::c277_g1_i2::g.491::m.491
6	1.8261	10.7088	0.1705	Gene.489::c277_g1_i1::g.489::m.489	Gene.490::c277_g1_i2::g.490::m.490
7	0.0582	0.1261	0.4619	Gene.525::c304_g1_i1::g.525::m.525	Gene.530::c304_g1_i2::g.530::m.530
8	1.1433	42.5347	0.0269	Gene.525::c304_g1_i1::g.525::m.525	Gene.529::c304_g1_i2::g.529::m.529
9	0.8708	26.0219	0.0335	Gene.525::c304_g1_i1::g.525::m.525	Gene.528::c304_g1_i2::g.528::m.528
10	0.0190	0.0658	0.2883	Gene.526::c304_g1_i1::g.526::m.526	Gene.528::c304_g1_i2::g.528::m.528
11	1.2771	3.5753	0.3572	Gene.526::c304_g1_i1::g.526::m.526	Gene.529::c304_g1_i2::g.529::m.529
12	1.5795	3.7224	0.4243	Gene.526::c304_g1_i1::g.526::m.526	Gene.530::c304_g1_i2::g.530::m.530
13	18.3947	11.7444	1.5663	Gene.589::c352_g1_i1::g.589::m.589	Gene.591::c352_g1_i1::g.591::m.591
14	13.4233	20.9053	0.6421	Gene.589::c352_g1_i1::g.589::m.589	Gene.590::c352_g1_i1::g.590::m.590
15	16.8634	15.8314	1.0652	Gene.590::c352_g1_i1::g.590::m.590	Gene.591::c352_g1_i1::g.591::m.591
16	0.3402	0.6595	0.5158	Gene.611::c366_g1_i1::g.611::m.611	Gene.614::c366_g1_i2::g.614::m.614
