Pair	Ka	Ks	Ka/Ks	SeqQ	SeqS
1	0.0105	0.0190	0.5508	Ceratahi_c46_g1::Ceratahi_c46_g1_i1::g.38::m.38	Ceratahi_c46_g1::Ceratahi_c46_g1_i2::g.39::m.39
2	0.0099	0.0122	0.8139	Ceratahi_c195_g1::Ceratahi_c195_g1_i1::g.158::m.158	Ceratahi_c195_g1::Ceratahi_c195_g1_i2::g.161::m.161
3	0.0067	0.0001	99.0000	Ceratahi_c284_g1::Ceratahi_c284_g1_i1::g.230::m.230	Ceratahi_c284_g1::Ceratahi_c284_g1_i2::g.232::m.232
4	1.4352	2.4209	0.5928	Ceratahi_c304_g1::Ceratahi_c304_g1_i1::g.265::m.265	Ceratahi_c304_g1::Ceratahi_c304_g1_i2::g.266::m.266
5	0.0050	0.0120	0.4175	Ceratahi_c305_g1::Ceratahi_c305_g1_i1::g.267::m.267	Ceratahi_c305_g1::Ceratahi_c305_g1_i2::g.268::m.268
6	0.0077	0.6692	0.0116	Ceratahi_c348_g1::Ceratahi_c348_g1_i1::g.307::m.307	Ceratahi_c348_g1::Ceratahi_c348_g1_i2::g.308::m.308
7	0.0037	0.0003	11.4877	Ceratahi_c591_g1::Ceratahi_c591_g1_i1::g.505::m.505	Ceratahi_c591_g1::Ceratahi_c591_g1_i2::g.506::m.506
8	0.0035	0.0000	99.0000	Ceratahi_c594_g1::Ceratahi_c594_g1_i1::g.508::m.508	Ceratahi_c594_g1::Ceratahi_c594_g1_i2::g.510::m.510
9	1.4132	68.9645	0.0205	Ceratahi_c594_g1::Ceratahi_c594_g1_i1::g.509::m.509	Ceratahi_c594_g1::Ceratahi_c594_g1_i2::g.510::m.510
10	0.0000	0.0000	99.0000	Ceratahi_c643_g1::Ceratahi_c643_g1_i1::g.581::m.581	Ceratahi_c643_g1::Ceratahi_c643_g1_i2::g.584::m.584
11	2.7314	3.8372	0.7118	Ceratahi_c643_g1::Ceratahi_c643_g1_i1::g.581::m.581	Ceratahi_c643_g1::Ceratahi_c643_g1_i2::g.585::m.585
12	2.1434	24.8738	0.0862	Ceratahi_c643_g1::Ceratahi_c643_g1_i1::g.581::m.581	Ceratahi_c643_g1::Ceratahi_c643_g1_i2::g.586::m.586
13	0.0000	0.0076	0.0010	Ceratahi_c643_g1::Ceratahi_c643_g1_i1::g.582::m.582	Ceratahi_c643_g1::Ceratahi_c643_g1_i2::g.585::m.585
14	1.9939	9.8076	0.2033	Ceratahi_c643_g1::Ceratahi_c643_g1_i1::g.582::m.582	Ceratahi_c643_g1::Ceratahi_c643_g1_i2::g.584::m.584
15	2.0933	6.6687	0.3139	Ceratahi_c643_g1::Ceratahi_c643_g1_i1::g.582::m.582	Ceratahi_c643_g1::Ceratahi_c643_g1_i2::g.586::m.586
16	0.0000	0.0000	99.0000	Ceratahi_c643_g1::Ceratahi_c643_g1_i1::g.583::m.583	Ceratahi_c643_g1::Ceratahi_c643_g1_i2::g.586::m.586
17	2.1088	17.4374	0.1209	Ceratahi_c643_g1::Ceratahi_c643_g1_i1::g.583::m.583	Ceratahi_c643_g1::Ceratahi_c643_g1_i2::g.584::m.584
18	3.1008	4.7395	0.6542	Ceratahi_c643_g1::Ceratahi_c643_g1_i1::g.583::m.583	Ceratahi_c643_g1::Ceratahi_c643_g1_i2::g.585::m.585
19	0.1253	0.1958	0.6399	Ceratahi_c831_g1::Ceratahi_c831_g1_i1::g.745::m.745	Ceratahi_c831_g1::Ceratahi_c831_g1_i2::g.748::m.748
