Pair	Ka	Ks	Ka/Ks	SeqQ	SeqS
1	0.0367	0.0671	0.5468	Acradend_c17_g1::Acradend_c17_g1_i1::g.48::m.48	Acradend_c17_g1::Acradend_c17_g1_i2::g.54::m.54
2	1.0910	61.1743	0.0178	Acradend_c17_g1::Acradend_c17_g1_i1::g.48::m.48	Acradend_c17_g1::Acradend_c17_g1_i2::g.53::m.53
3	1.1596	2.5720	0.4509	Acradend_c17_g1::Acradend_c17_g1_i1::g.48::m.48	Acradend_c17_g1::Acradend_c17_g1_i2::g.56::m.56
4	1.1197	21.1531	0.0529	Acradend_c17_g1::Acradend_c17_g1_i1::g.49::m.49	Acradend_c17_g1::Acradend_c17_g1_i2::g.54::m.54
5	0.1385	0.2164	0.6401	Acradend_c17_g1::Acradend_c17_g1_i1::g.49::m.49	Acradend_c17_g1::Acradend_c17_g1_i2::g.53::m.53
6	0.4580	1.3465	0.3402	Acradend_c17_g1::Acradend_c17_g1_i1::g.49::m.49	Acradend_c17_g1::Acradend_c17_g1_i2::g.56::m.56
7	0.1067	0.2069	0.5156	Acradend_c17_g1::Acradend_c17_g1_i1::g.51::m.51	Acradend_c17_g1::Acradend_c17_g1_i2::g.56::m.56
8	0.8979	69.4294	0.0129	Acradend_c17_g1::Acradend_c17_g1_i1::g.51::m.51	Acradend_c17_g1::Acradend_c17_g1_i2::g.54::m.54
9	1.1134	54.6338	0.0204	Acradend_c17_g1::Acradend_c17_g1_i1::g.51::m.51	Acradend_c17_g1::Acradend_c17_g1_i2::g.53::m.53
10	0.0000	0.0127	0.0010	Acradend_c23_g1::Acradend_c23_g1_i1::g.74::m.74	Acradend_c23_g1::Acradend_c23_g1_i2::g.79::m.79
11	1.1639	6.3989	0.1819	Acradend_c23_g1::Acradend_c23_g1_i1::g.74::m.74	Acradend_c23_g1::Acradend_c23_g1_i2::g.77::m.77
12	1.0092	24.1429	0.0418	Acradend_c23_g1::Acradend_c23_g1_i1::g.74::m.74	Acradend_c23_g1::Acradend_c23_g1_i2::g.78::m.78
13	1.0509	2.4434	0.4301	Acradend_c23_g1::Acradend_c23_g1_i1::g.75::m.75	Acradend_c23_g1::Acradend_c23_g1_i2::g.79::m.79
14	0.1345	0.1516	0.8869	Acradend_c23_g1::Acradend_c23_g1_i1::g.75::m.75	Acradend_c23_g1::Acradend_c23_g1_i2::g.77::m.77
